disaster_number,state,disaster_description,incident_start_date,incident_end_date,declaration_date,declaration_type,status,physical_deadline_date,eidl_deadline_date,fema_number,county_type,county_name,county_fips,latitude,longitude
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Primary,Clearfield,42033,41.006862,-78.477724
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Blair,42013,40.498683,-78.309597
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Cambria,42021,40.510209,-78.710488
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Cameron,42023,41.438291,-78.198323
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Centre,42027,40.909322,-77.847667
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Clinton,42035,41.239508,-77.629009
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Elk,42047,41.427332,-78.653937
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Indiana,42063,40.651432,-79.087545
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Jefferson,42065,41.138028,-79.012419
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Cook,17031,41.894294,-87.645455
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Will,17197,41.448474,-87.978456
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,DuPage,17043,41.852058,-88.086039
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Grundy,17063,41.29241,-88.401054
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Kane,17089,41.939594,-88.42804
