disaster_number,state,disaster_description,incident_start_date,incident_end_date,declaration_date,declaration_type,status,physical_deadline_date,eidl_deadline_date,fema_number,county_type,county_name,county_fips,latitude,longitude
IL-20035,Illinois,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Cook,17031,41.894294,-87.645455
IL-20035,Illinois,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Will,17197,41.448474,-87.978456
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,DuPage,17043,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Grundy,17063,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Kane,17089,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Kankakee,17091,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Kendall,17093,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Lake,17097,,
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,McHenry,17111,,
IL-20035,IN,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,Lake,18089,,
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Primary,Lewis,54041,38.988877,-80.495477
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Primary,Pleasants,54073,39.368133,-81.161172
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Primary,Ritchie,54085,39.177112,-81.066317
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Primary,Upshur,54097,38.90253,-80.231606
WV-20027,OH,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Contiguous,Washington,39167,,
