disaster_number,state,disaster_description,incident_start_date,incident_end_date,declaration_date,declaration_type,status,physical_deadline,eidl_deadline,fema_number,county_name,county_fips,latitude,longitude
IL-20035,Illinois,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Cook,17031,41.894294,-87.645455
IL-20035,Illinois,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Will,17197,41.448474,-87.978456
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Lewis,54041,38.988877,-80.495477
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Pleasants,54073,39.368133,-81.161172
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Ritchie,54085,39.177112,-81.066317
WV-20027,West Virginia,"Severe Storms, Straight-line Winds, Tornadoes, Flooding, Landslides, and Mudslides",2026-07-21,2026-07-22,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4932,Upshur,54097,38.90253,-80.231606
PA-20038,Pennsylvania,Severe Storms,2026-07-11,2026-07-11,2026-07-30,SBA Declaration (Agency),Disaster Declared,2026-09-28,2027-04-30,,Philadelphia,42101,40.009376,-75.133346
PA-20037,Pennsylvania,Severe Storms and Flooding,2026-07-05,2026-07-06,2026-07-21,SBA Declaration (Agency),Disaster Declared,2026-09-21,2027-04-21,,Blair,42013,40.498683,-78.309597
MP-20002,Northern Mariana Islands,Super Typhoon Bavi,2026-07-04,2026-07-12,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4931,Rota,69100,,
MP-20004,Northern Mariana Islands,Rural Area - Super Typhoon Bavi,2026-07-04,2026-07-12,2026-08-14,SBA Rural Agency,Disaster Declared,2026-10-13,2027-05-14,,Saipan,69110,,
MP-20004,Northern Mariana Islands,Rural Area - Super Typhoon Bavi,2026-07-04,2026-07-12,2026-08-14,SBA Rural Agency,Disaster Declared,2026-10-13,2027-05-14,,Tinian,69120,,
PA-20039,Pennsylvania,Severe Storms,2026-07-04,2026-07-04,2026-07-31,Governors Certification,Disaster Declared,,2027-04-30,,Monroe,42089,41.05624,-75.329065
MP-20003,Northern Mariana Islands,Super Typhoon Bavi,2026-07-04,2026-07-12,2026-08-03,Presidential-Public Assistance,Disaster Declared,2026-10-03,2027-05-03,4931,Rota,69100,,
IA-20015,Iowa,"Severe Storms, Heavy Rain, and Flash Flooding",2026-07-02,2026-07-04,2026-07-23,SBA Declaration (Agency),Disaster Declared,2026-09-21,2027-04-23,,Polk,19153,41.684816,-93.568971
IL-20031,Illinois,Severe Storms,2026-07-02,2026-07-04,2026-08-05,SBA Declaration (Agency),Disaster Declared,2026-10-05,2027-05-05,,Kane,17089,41.939594,-88.42804
IL-20030,Illinois,Severe Storms and Tornado,2026-06-21,2026-06-21,2026-07-29,SBA Declaration (Agency),Disaster Declared,2026-09-28,2027-04-29,,Jefferson,17081,38.30078,-88.92421
AZ-20024,Arizona,Pocket Fire,2026-06-19,2026-07-30,2026-08-11,Governors Certification,Disaster Declared,,2027-05-11,,Coconino,04005,35.829692,-111.773728
AZ-20024,Arizona,Pocket Fire,2026-06-19,2026-07-30,2026-08-11,Governors Certification,Disaster Declared,,2027-05-11,,Yavapai,04025,34.631071,-112.577225
MS-20022,Mississippi,Tropical Storm Arthur,2026-06-18,2026-06-20,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4930,Hancock,28045,30.391641,-89.482791
MS-20022,Mississippi,Tropical Storm Arthur,2026-06-18,2026-06-20,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4930,Harrison,28047,30.416536,-89.083376
MS-20022,Mississippi,Tropical Storm Arthur,2026-06-18,2026-06-20,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4930,Pearl River,28109,30.774793,-89.586904
MS-20022,Mississippi,Tropical Storm Arthur,2026-06-18,2026-06-20,2026-08-03,Presidential-Individual Assistance,Disaster Declared,2026-10-03,2027-05-03,4930,Stone,28131,30.790184,-89.112297
