disaster_number,state,disaster_description,incident_start_date,incident_end_date,declaration_date,declaration_type,status,physical_deadline_date,eidl_deadline_date,fema_number,county_type,county_name,county_fips,latitude,longitude,GEOID,INTPTLAT,INTPTLONG,new_latitude,new_longitude,island_latitude,island_longitude
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Primary,Clearfield,42033,41.006862,-78.477724,42033,41.006862,-78.477724,41.006862,-78.477724,+41.0068618,-078.4777237
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Blair,42013,40.498683,-78.309597,42013,40.498683,-78.309597,40.498683,-78.309597,+40.4986828,-078.3095970
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Cambria,42021,40.510209,-78.710488,42021,40.510209,-78.710488,40.510227,-78.710477,+40.5102268,-078.7104774
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Cameron,42023,41.438291,-78.198323,42023,41.438291,-78.198323,41.438291,-78.198323,+41.4382909,-078.1983225
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Centre,42027,40.909322,-77.847667,42027,40.909322,-77.847667,40.909128,-77.847877,+40.9091275,-077.8478769
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Clinton,42035,41.239508,-77.629009,42035,41.239508,-77.629009,41.239508,-77.629009,+41.2395075,-077.6290090
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Elk,42047,41.427332,-78.653937,42047,41.427332,-78.653937,41.427332,-78.653937,+41.4273317,-078.6539366
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Indiana,42063,40.651432,-79.087545,42063,40.651432,-79.087545,40.651432,-79.087545,+40.6514319,-079.0875451
PA-20040,PA,Severe Storms and Flooding,2026-07-28,2026-07-28,2026-08-19,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-19,,Contiguous,Jefferson,42065,41.138028,-79.012419,42065,41.138028,-79.012419,41.138028,-79.012419,+41.1380282,-079.0124190
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Cook,17031,41.894294,-87.645455,17031,41.894294,-87.645455,41.894294,-87.645455,+41.8942937,-087.6454546
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Primary,Will,17197,41.448474,-87.978456,17197,41.448474,-87.978456,41.448474,-87.978456,+41.4484742,-087.9784564
IL-20035,IL,Severe Storms,2026-07-27,2026-07-27,2026-08-18,SBA Declaration (Agency),Disaster Declared,2026-10-19,2027-05-18,,Contiguous,DuPage,17043,41.852058,-88.086039,17043,41.852058,-88.086039,41.852058,-88.086039,+41.8520577,-088.0860389
